Intern_ID,Technical_Score,Project_Completion_Rate,Attendance_Punctuality,Soft_Skills_Rating,Code_Review_Score,Prior_Experience_Months,Education_Level,Placed_Or_HighPerformer
ZYN-2026-037,68.5,83.6,84.4,2.9,6.8,5,Undergrad,0
ZYN-2026-038,85.6,73.6,79.6,4.0,7.1,4,High_School,1
ZYN-2026-039,81.0,96.3,77.6,5.0,4.8,5,Undergrad,1
ZYN-2026-040,91.2,63.7,68.3,3.1,8.0,11,Undergrad,1
ZYN-2026-041,58.5,75.3,100.0,1.8,8.1,7,High_School,0
ZYN-2026-042,81.6,86.5,77.0,3.6,7.1,6,Undergrad,1
ZYN-2026-043,86.8,100.0,85.8,4.7,9.0,3,High_School,1
ZYN-2026-044,47.4,81.2,85.2,5.0,6.7,0,Grad,1
ZYN-2026-045,55.4,75.3,91.1,2.8,8.1,10,Undergrad,1
ZYN-2026-046,43.5,100.0,96.2,4.2,5.6,5,Undergrad,0
ZYN-2026-047,68.2,64.6,96.6,3.4,7.2,5,Undergrad,1
ZYN-2026-048,82.0,55.6,82.2,3.7,6.9,3,Undergrad,1
ZYN-2026-049,93.0,87.3,86.3,5.0,7.6,4,Undergrad,1
ZYN-2026-050,73.0,76.0,90.8,2.6,6.6,2,High_School,0
ZYN-2026-051,94.8,69.7,85.5,4.0,7.0,2,Grad,1
ZYN-2026-052,52.7,90.5,100.0,4.2,8.5,7,Grad,0
ZYN-2026-053,48.2,84.9,92.9,4.7,6.5,3,Grad,1
ZYN-2026-054,71.2,75.2,95.3,3.9,4.6,1,Grad,0
ZYN-2026-055,77.4,66.6,94.6,4.0,10.0,3,Undergrad,1
ZYN-2026-056,71.5,92.5,99.7,3.5,9.4,7,Grad,1
ZYN-2026-057,43.1,89.8,89.8,4.0,5.1,5,High_School,0
ZYN-2026-058,70.8,80.8,75.0,3.5,8.3,5,High_School,1
ZYN-2026-059,53.7,100.0,92.0,4.3,6.4,4,High_School,1
ZYN-2026-060,81.4,69.2,81.5,3.5,7.6,5,Undergrad,1
ZYN-2026-061,77.1,63.7,82.7,4.1,7.7,5,Undergrad,1
ZYN-2026-062,58.8,73.7,93.9,3.8,6.8,3,Undergrad,0
ZYN-2026-063,64.8,81.5,100.0,4.7,5.9,3,Grad,1
ZYN-2026-064,57.2,84.9,88.2,3.8,6.1,6,Undergrad,0
ZYN-2026-065,71.1,79.1,91.1,2.4,5.7,6,Undergrad,0
ZYN-2026-066,85.4,86.2,100.0,4.8,5.9,4,Undergrad,1
ZYN-2026-067,58.2,67.0,90.4,3.1,7.1,9,High_School,0
ZYN-2026-068,79.1,99.3,100.0,3.3,6.1,6,Grad,0
ZYN-2026-069,64.6,81.0,93.7,3.3,8.3,5,High_School,1
ZYN-2026-070,60.9,95.4,70.4,4.9,9.6,5,Grad,1
ZYN-2026-071,70.5,86.1,95.5,2.1,6.3,4,Grad,1
ZYN-2026-072,57.5,87.5,91.8,5.0,7.6,10,High_School,1
ZYN-2026-073,64.2,88.8,100.0,4.6,8.0,6,High_School,1
ZYN-2026-074,55.2,87.4,94.7,4.0,8.0,2,Grad,1
ZYN-2026-075,99.5,89.7,86.6,3.8,7.3,4,Undergrad,1
ZYN-2026-076,72.5,97.9,75.8,4.0,8.4,3,Undergrad,1
ZYN-2026-077,62.2,84.4,85.9,4.2,8.0,2,Grad,0
ZYN-2026-078,75.0,90.5,79.5,4.3,5.2,5,High_School,0
ZYN-2026-079,70.4,80.9,82.2,4.2,8.6,6,Undergrad,1
ZYN-2026-080,68.9,99.3,93.9,3.9,8.6,5,High_School,1
ZYN-2026-081,80.6,73.9,100.0,3.6,6.0,10,Grad,1
ZYN-2026-082,82.6,100.0,91.9,3.7,7.3,5,Undergrad,0
ZYN-2026-083,64.6,81.5,76.0,3.6,8.3,5,Undergrad,1
ZYN-2026-084,63.9,64.8,92.4,4.7,6.9,4,High_School,0
ZYN-2026-085,68.1,83.5,100.0,4.3,8.9,4,Undergrad,1
ZYN-2026-086,39.8,73.8,81.9,1.4,10.0,3,Undergrad,1
ZYN-2026-087,50.8,92.1,86.7,4.3,5.9,6,Undergrad,0
ZYN-2026-088,91.1,74.2,88.1,4.0,5.0,4,Undergrad,0
ZYN-2026-089,95.0,76.6,80.2,3.8,7.7,2,Grad,1
ZYN-2026-090,68.5,59.3,94.5,3.5,8.4,9,Undergrad,1
ZYN-2026-091,80.1,76.6,86.8,4.7,6.8,5,High_School,1
ZYN-2026-092,76.4,52.9,92.2,4.6,9.5,9,Undergrad,1
ZYN-2026-093,100.0,63.0,79.1,3.2,5.1,5,Grad,0
ZYN-2026-094,87.7,91.1,83.6,4.1,8.3,5,Undergrad,1
ZYN-2026-095,70.2,91.4,95.2,3.0,6.2,1,Grad,0
ZYN-2026-096,58.6,87.1,84.3,2.7,10.0,5,Undergrad,0
ZYN-2026-097,49.5,70.4,100.0,3.3,10.0,8,Undergrad,0
ZYN-2026-098,74.8,81.4,84.0,4.5,6.0,6,Undergrad,1
ZYN-2026-099,61.4,82.0,90.2,4.6,6.3,2,High_School,1
ZYN-2026-100,52.1,68.1,97.3,4.2,8.6,5,High_School,0
ZYN-2026-101,62.9,100.0,73.8,4.4,6.6,5,High_School,0
ZYN-2026-102,56.9,92.5,70.4,4.2,7.1,4,Undergrad,0
ZYN-2026-103,95.6,79.3,72.7,3.3,7.2,6,Undergrad,1
ZYN-2026-104,84.3,82.3,100.0,4.1,4.1,5,Undergrad,0
ZYN-2026-105,71.9,84.5,82.5,4.4,7.2,6,Grad,1
ZYN-2026-106,92.7,57.5,100.0,4.4,6.1,5,Undergrad,0
ZYN-2026-107,73.1,79.0,82.4,4.8,6.4,4,Undergrad,1
ZYN-2026-108,59.9,73.8,89.8,4.4,9.5,7,Grad,1
ZYN-2026-109,93.3,70.0,100.0,4.1,5.2,5,Undergrad,0
ZYN-2026-110,79.5,78.6,100.0,4.7,8.5,7,High_School,1
ZYN-2026-111,57.5,100.0,100.0,3.8,6.8,6,Undergrad,1
ZYN-2026-112,69.3,89.7,100.0,3.1,6.8,4,High_School,1
ZYN-2026-113,59.7,75.1,98.2,3.7,8.5,8,Grad,1
ZYN-2026-114,52.6,88.9,93.9,3.2,7.7,4,Grad,0
ZYN-2026-115,85.0,98.8,95.8,3.3,8.1,3,Undergrad,1
ZYN-2026-116,98.7,93.1,82.5,3.7,8.7,5,Grad,1
ZYN-2026-117,52.4,82.7,79.8,3.2,6.7,10,Grad,0
ZYN-2026-118,79.9,74.2,88.0,3.6,6.2,6,High_School,1
ZYN-2026-119,62.9,90.4,86.3,2.3,5.5,4,Grad,0
ZYN-2026-120,65.2,86.7,83.5,4.0,5.9,3,Undergrad,0
ZYN-2026-121,63.7,92.7,95.0,3.8,10.0,3,Grad,1
ZYN-2026-122,59.9,89.6,97.6,3.1,9.2,5,Grad,0
ZYN-2026-123,72.7,94.6,88.9,4.3,5.0,2,Undergrad,1
ZYN-2026-124,60.4,75.6,100.0,4.6,5.1,6,High_School,0
ZYN-2026-125,75.8,97.8,76.6,2.5,8.0,2,Undergrad,1
ZYN-2026-126,71.3,84.4,86.1,3.2,8.1,5,Undergrad,1
ZYN-2026-127,68.7,100.0,80.8,3.2,8.1,2,Grad,1
ZYN-2026-128,59.3,73.7,69.3,3.0,6.8,6,Grad,0
ZYN-2026-129,63.9,100.0,87.2,4.5,7.0,3,High_School,0
ZYN-2026-130,82.6,84.4,86.8,3.6,7.7,5,Undergrad,0
ZYN-2026-131,79.0,74.2,100.0,3.6,7.3,2,Undergrad,1
ZYN-2026-132,58.3,76.2,94.3,2.2,3.6,6,Undergrad,0
ZYN-2026-133,73.4,78.2,77.8,4.3,6.8,6,High_School,0
ZYN-2026-134,82.5,87.1,100.0,2.8,5.8,7,Undergrad,1
ZYN-2026-135,48.6,88.3,100.0,3.8,7.5,6,Grad,0
ZYN-2026-136,79.6,75.1,93.8,4.0,10.0,6,Undergrad,1
ZYN-2026-137,62.7,81.7,85.7,4.9,7.8,4,Undergrad,1
ZYN-2026-138,80.0,100.0,78.4,2.8,6.7,4,Undergrad,1
ZYN-2026-139,61.3,100.0,84.3,1.4,8.7,7,Undergrad,0
ZYN-2026-140,46.7,87.2,98.9,3.9,8.0,5,Grad,0
ZYN-2026-141,49.2,82.5,100.0,5.0,7.9,5,Grad,1
ZYN-2026-142,72.7,83.4,100.0,4.8,8.2,8,Undergrad,1
ZYN-2026-143,75.6,89.4,83.1,4.0,10.0,4,Undergrad,0
ZYN-2026-144,59.3,69.7,76.8,3.4,5.4,2,Undergrad,0
ZYN-2026-145,80.9,78.9,89.4,4.4,8.0,3,Undergrad,1
ZYN-2026-146,48.7,62.0,70.3,3.0,5.7,4,High_School,0
ZYN-2026-147,71.1,86.8,91.2,4.2,8.1,6,Undergrad,1
ZYN-2026-148,55.0,89.8,86.5,4.2,5.7,9,Undergrad,1
ZYN-2026-149,62.9,76.2,83.3,4.6,6.5,3,High_School,0
ZYN-2026-150,72.7,100.0,72.1,5.0,6.7,5,Undergrad,1
ZYN-2026-151,60.0,67.3,93.1,4.1,8.8,3,Grad,1
ZYN-2026-152,66.6,64.4,82.7,3.4,8.7,2,Undergrad,1
ZYN-2026-153,86.1,84.7,76.3,3.8,5.2,4,High_School,1
ZYN-2026-154,63.9,94.6,59.3,2.4,7.3,9,Undergrad,0
ZYN-2026-155,83.7,100.0,87.7,3.2,6.1,4,Grad,1
ZYN-2026-156,56.2,76.5,100.0,3.5,5.2,5,Undergrad,0
ZYN-2026-157,79.4,94.9,100.0,3.4,6.9,8,Undergrad,1
ZYN-2026-158,92.2,81.5,83.4,3.9,6.7,8,Grad,1
ZYN-2026-159,37.4,79.9,82.0,3.1,10.0,5,Undergrad,1
ZYN-2026-160,60.8,92.6,92.7,4.7,7.9,3,Undergrad,1
ZYN-2026-161,80.1,89.8,78.0,3.8,5.0,9,Undergrad,1
ZYN-2026-162,69.2,63.1,91.0,3.8,6.3,2,Undergrad,0
ZYN-2026-163,77.2,99.7,95.7,3.5,8.8,8,Undergrad,1
ZYN-2026-164,63.5,98.6,100.0,3.9,10.0,7,Undergrad,1
ZYN-2026-165,73.2,74.5,87.0,4.5,4.7,6,High_School,0
ZYN-2026-166,69.8,86.7,86.0,3.1,4.2,9,Grad,0
ZYN-2026-167,88.3,87.9,79.2,3.3,10.0,3,Undergrad,1
ZYN-2026-168,75.6,85.1,79.7,3.6,7.8,6,High_School,0
ZYN-2026-169,76.7,75.4,85.7,2.7,5.8,7,High_School,1
ZYN-2026-170,66.2,73.9,91.7,3.1,8.1,7,Undergrad,0
ZYN-2026-171,65.2,81.7,97.1,3.4,3.0,5,Undergrad,0
ZYN-2026-172,65.9,96.1,80.0,4.5,7.2,5,High_School,0
ZYN-2026-173,77.5,88.5,100.0,4.0,7.7,1,Undergrad,1
ZYN-2026-174,66.1,77.6,85.3,4.0,8.7,7,Undergrad,1
ZYN-2026-175,76.1,91.3,87.8,4.5,5.6,4,Undergrad,0
ZYN-2026-176,100.0,47.8,80.5,3.7,7.3,7,High_School,1
ZYN-2026-177,84.2,95.8,63.8,4.1,5.7,5,Undergrad,1
ZYN-2026-178,67.4,61.1,96.8,3.7,7.6,5,Undergrad,0
ZYN-2026-179,88.8,77.7,95.4,4.0,5.8,3,Grad,0
ZYN-2026-180,66.3,68.6,85.2,3.3,6.5,5,High_School,0
ZYN-2026-181,43.5,66.5,88.7,1.8,5.6,5,Undergrad,0
ZYN-2026-182,57.9,95.9,93.2,3.7,8.2,4,High_School,0
ZYN-2026-183,45.8,76.4,72.4,4.9,8.6,3,Grad,0
ZYN-2026-184,67.1,86.2,82.7,4.5,6.8,3,Grad,1
ZYN-2026-185,72.3,81.4,95.9,4.6,7.3,5,Undergrad,1
ZYN-2026-186,95.5,87.7,75.5,4.8,4.9,10,Undergrad,1
ZYN-2026-187,76.6,82.9,90.9,3.9,6.7,2,Grad,1
ZYN-2026-188,68.9,66.6,74.4,4.0,7.1,5,Undergrad,0
ZYN-2026-189,83.6,94.0,92.7,3.3,10.0,3,Undergrad,1
ZYN-2026-190,41.0,76.1,87.6,3.5,5.4,4,Undergrad,0
ZYN-2026-191,75.3,63.3,71.8,4.3,9.5,6,High_School,1
ZYN-2026-192,82.8,76.9,99.6,4.8,8.8,3,Grad,1
ZYN-2026-193,51.3,100.0,80.7,3.7,7.6,4,Grad,1
ZYN-2026-194,88.0,92.2,79.9,3.4,10.0,4,Undergrad,1
ZYN-2026-195,76.7,77.8,90.0,3.8,7.8,5,Undergrad,1
ZYN-2026-196,66.2,77.8,99.5,4.3,7.8,8,Undergrad,0
ZYN-2026-197,80.9,78.1,77.8,2.6,7.1,5,Undergrad,1
ZYN-2026-198,100.0,100.0,88.6,2.0,9.2,6,Grad,1
ZYN-2026-199,74.5,86.6,92.3,3.4,9.0,3,Grad,1
ZYN-2026-200,75.5,87.2,94.9,2.8,6.2,4,Grad,0
ZYN-2026-201,65.6,94.4,89.8,3.4,5.1,5,Undergrad,0
ZYN-2026-202,60.1,84.9,84.3,3.7,6.9,6,High_School,1
ZYN-2026-203,83.6,78.9,79.7,3.4,5.9,7,High_School,1
ZYN-2026-204,60.0,79.6,88.9,5.0,7.1,5,Grad,0
ZYN-2026-205,73.0,81.1,77.3,4.1,9.2,2,Undergrad,0
ZYN-2026-206,65.3,81.6,58.8,4.0,6.5,6,High_School,0
ZYN-2026-207,78.7,90.7,92.4,4.3,7.1,4,High_School,0
ZYN-2026-208,76.7,82.6,97.0,2.9,7.3,2,Undergrad,1
ZYN-2026-209,86.5,90.8,64.4,4.6,8.6,4,High_School,1
ZYN-2026-210,64.9,81.0,77.9,3.7,3.6,2,High_School,0
ZYN-2026-211,68.2,82.9,94.2,4.3,6.2,3,Undergrad,0
ZYN-2026-212,58.3,58.0,100.0,2.9,7.5,4,Undergrad,0
ZYN-2026-213,65.8,93.0,88.2,2.6,9.1,7,Undergrad,1
ZYN-2026-214,77.3,86.2,80.7,4.5,6.4,5,Undergrad,0
ZYN-2026-215,82.6,94.0,86.2,4.1,4.2,5,Undergrad,0
ZYN-2026-216,59.1,47.2,100.0,3.1,8.2,7,Undergrad,0
ZYN-2026-217,84.2,100.0,81.5,3.1,6.2,9,Undergrad,1
ZYN-2026-218,91.0,80.3,80.0,4.7,5.3,7,Undergrad,1
ZYN-2026-219,77.8,95.3,83.2,2.8,6.2,6,Undergrad,1
ZYN-2026-220,98.3,69.5,78.5,5.0,6.9,6,Grad,1
ZYN-2026-221,61.2,89.4,89.2,3.1,6.2,9,Undergrad,1
ZYN-2026-222,54.6,69.4,100.0,4.3,3.7,2,Undergrad,0
ZYN-2026-223,47.1,74.5,91.2,3.5,8.6,3,High_School,0
ZYN-2026-224,92.9,100.0,85.5,4.3,9.2,9,Undergrad,1
ZYN-2026-225,81.2,79.7,85.1,3.4,8.2,3,Undergrad,1
ZYN-2026-226,71.2,84.6,72.4,3.7,5.4,8,Undergrad,1
ZYN-2026-227,75.9,92.4,96.8,3.8,6.9,5,Grad,0
ZYN-2026-228,56.2,87.9,87.2,3.0,7.2,4,Undergrad,1
ZYN-2026-229,100.0,83.8,86.2,4.4,8.2,9,Grad,1
ZYN-2026-230,73.8,86.4,100.0,3.4,8.3,2,Undergrad,0
ZYN-2026-231,73.5,100.0,91.0,3.6,6.0,5,Grad,0
ZYN-2026-232,82.2,81.3,80.5,3.0,7.3,10,Undergrad,1
ZYN-2026-233,78.7,84.4,83.7,1.8,7.9,5,Undergrad,1
ZYN-2026-234,75.1,94.6,99.5,3.6,9.5,4,Undergrad,1
ZYN-2026-235,60.9,95.3,89.1,5.0,8.3,7,High_School,1
ZYN-2026-236,78.6,96.2,73.6,4.4,8.5,3,Undergrad,1
ZYN-2026-237,98.3,89.7,97.2,3.8,7.3,6,Undergrad,1
ZYN-2026-238,90.8,68.3,81.3,3.6,9.5,3,High_School,1
ZYN-2026-239,94.3,100.0,100.0,3.8,7.9,3,Undergrad,1
ZYN-2026-240,64.8,68.2,98.8,4.2,5.8,4,High_School,0
ZYN-2026-241,58.1,85.6,83.5,2.9,9.4,1,Grad,0
ZYN-2026-242,70.2,72.9,100.0,4.7,8.3,2,Grad,1
ZYN-2026-243,72.8,81.2,88.7,4.4,6.5,4,Grad,1
ZYN-2026-244,87.3,85.9,96.5,4.4,6.4,5,Undergrad,1
ZYN-2026-245,48.3,85.9,92.8,4.2,7.7,8,High_School,0
ZYN-2026-246,93.4,87.1,79.5,3.8,7.9,7,Grad,1
ZYN-2026-247,69.8,100.0,81.6,4.3,7.5,7,Undergrad,1
ZYN-2026-248,66.0,87.4,98.3,4.3,7.7,2,Grad,0
ZYN-2026-249,57.8,79.1,84.7,3.5,9.9,6,Grad,1
ZYN-2026-250,48.8,93.6,84.0,3.3,8.9,8,Grad,1
ZYN-2026-251,83.5,96.3,78.4,3.9,7.5,6,Undergrad,1
ZYN-2026-252,73.0,67.3,92.2,5.0,8.7,4,Undergrad,1
ZYN-2026-253,53.9,89.2,100.0,2.8,5.5,4,Grad,0
ZYN-2026-254,53.9,90.4,77.3,2.6,7.8,4,Undergrad,0
ZYN-2026-255,67.3,78.4,88.2,3.9,10.0,1,High_School,0
ZYN-2026-256,95.4,98.5,100.0,3.8,6.9,6,Undergrad,1
ZYN-2026-257,68.4,80.2,87.2,3.9,5.8,8,Grad,1
ZYN-2026-258,51.0,83.5,92.5,4.0,6.2,7,Undergrad,0
ZYN-2026-259,68.6,79.9,77.4,3.6,5.5,7,Undergrad,0
ZYN-2026-260,68.2,82.2,92.3,5.0,5.9,6,High_School,1
ZYN-2026-261,34.2,68.8,86.1,2.5,6.6,6,Undergrad,0
ZYN-2026-262,71.2,64.7,97.9,3.1,5.0,4,Grad,0
ZYN-2026-263,68.8,100.0,99.9,3.7,7.2,3,High_School,1
ZYN-2026-264,81.7,71.8,100.0,2.5,8.6,6,Undergrad,0
ZYN-2026-265,97.9,70.1,93.8,3.7,5.7,3,Grad,1
ZYN-2026-266,87.8,56.2,91.3,5.0,9.6,10,Undergrad,1
ZYN-2026-267,68.2,74.3,89.9,3.8,8.0,5,Undergrad,1
ZYN-2026-268,56.5,66.1,84.5,4.0,8.8,6,Undergrad,1
ZYN-2026-269,100.0,100.0,91.4,2.8,6.1,6,Undergrad,1
ZYN-2026-270,72.8,94.1,85.0,3.3,8.6,4,Undergrad,1
ZYN-2026-271,72.2,73.7,89.7,3.5,5.5,6,Grad,0
ZYN-2026-272,71.7,100.0,100.0,3.5,8.6,5,Grad,1
ZYN-2026-273,74.8,93.8,77.9,4.8,7.5,3,Grad,1
ZYN-2026-274,70.0,78.1,99.4,4.2,8.1,2,Grad,0
ZYN-2026-275,64.0,52.0,100.0,2.9,5.3,3,Undergrad,0
ZYN-2026-276,64.3,100.0,86.8,4.0,5.8,2,Undergrad,0
ZYN-2026-277,71.5,65.3,66.8,4.2,8.2,8,Grad,0
ZYN-2026-278,64.4,62.3,81.9,4.7,5.7,7,Undergrad,0
ZYN-2026-279,62.0,94.3,100.0,5.0,7.9,4,Undergrad,1
ZYN-2026-280,73.5,100.0,87.8,3.0,5.0,3,Grad,1
ZYN-2026-281,68.4,98.6,78.0,3.2,8.6,3,Grad,1
ZYN-2026-282,93.1,88.8,83.0,2.8,5.2,6,Undergrad,1
ZYN-2026-283,34.9,89.1,96.4,3.6,8.1,5,Undergrad,0
ZYN-2026-284,87.3,92.2,93.5,4.2,8.2,1,High_School,1
ZYN-2026-285,89.4,91.1,85.6,4.6,6.1,8,Undergrad,1
ZYN-2026-286,43.0,85.4,84.3,3.7,8.1,9,High_School,0
ZYN-2026-287,67.2,83.3,84.1,3.5,7.6,4,Undergrad,0
ZYN-2026-288,66.8,81.2,78.8,3.9,6.3,7,Undergrad,1
ZYN-2026-289,52.3,73.0,100.0,3.1,5.6,3,Undergrad,0
ZYN-2026-290,61.1,78.6,84.8,5.0,4.1,7,Undergrad,0
ZYN-2026-291,56.5,61.7,100.0,2.5,7.8,5,High_School,0
ZYN-2026-292,96.5,80.8,100.0,3.9,4.7,6,High_School,0
ZYN-2026-293,85.1,70.1,98.0,5.0,7.4,8,Grad,1
ZYN-2026-294,89.8,68.8,83.7,3.8,6.8,2,Undergrad,1
ZYN-2026-295,82.1,84.2,92.0,3.6,8.3,4,High_School,1
ZYN-2026-296,56.2,98.7,87.8,3.5,6.7,9,Undergrad,0
ZYN-2026-297,64.7,93.0,79.0,3.7,6.7,4,Grad,0
ZYN-2026-298,78.9,63.2,91.2,4.9,8.4,4,Undergrad,1
ZYN-2026-299,54.9,70.1,76.2,2.0,7.7,3,Undergrad,0
ZYN-2026-300,82.0,93.3,99.9,5.0,7.7,4,High_School,1
ZYN-2026-301,68.6,70.2,83.4,2.7,8.0,4,High_School,1
ZYN-2026-302,66.8,79.3,90.0,3.6,4.7,6,Undergrad,1
ZYN-2026-303,82.0,88.6,90.8,3.5,8.4,7,Undergrad,1
ZYN-2026-304,78.2,70.4,85.4,4.3,8.2,3,Undergrad,1
ZYN-2026-305,66.9,83.3,93.9,2.5,5.6,6,Undergrad,0
ZYN-2026-306,88.2,66.0,83.3,4.2,6.8,8,Grad,1
ZYN-2026-307,56.9,74.8,96.7,5.0,7.1,7,Undergrad,1
ZYN-2026-308,80.6,85.8,74.5,2.7,7.0,3,Undergrad,1
ZYN-2026-309,80.3,62.9,89.3,4.0,7.7,4,Grad,1
ZYN-2026-310,67.7,87.3,100.0,3.3,9.5,6,Undergrad,1
ZYN-2026-311,76.6,81.8,78.0,4.1,8.9,8,Undergrad,1
ZYN-2026-312,54.5,88.6,81.2,3.8,5.1,3,High_School,0
ZYN-2026-313,84.9,84.7,93.1,3.3,8.2,4,High_School,0
ZYN-2026-314,69.4,98.4,89.8,4.2,9.3,3,Grad,1
ZYN-2026-315,64.7,83.5,91.5,5.0,7.8,8,Grad,1
ZYN-2026-316,86.7,76.8,92.9,3.6,8.9,1,Undergrad,1
ZYN-2026-317,62.1,83.5,94.3,4.4,10.0,3,Undergrad,1
ZYN-2026-318,52.3,88.5,99.1,2.8,8.8,7,High_School,0
ZYN-2026-319,50.2,82.6,92.1,3.0,7.6,5,High_School,1
ZYN-2026-320,80.5,82.5,85.6,4.2,8.9,9,Undergrad,1
ZYN-2026-321,54.1,73.6,94.7,5.0,7.4,5,Undergrad,1
ZYN-2026-322,96.6,74.0,100.0,4.1,7.2,4,Undergrad,1
ZYN-2026-323,42.9,65.2,86.7,3.5,6.6,5,Undergrad,1
ZYN-2026-324,95.8,100.0,78.3,3.8,9.7,7,Undergrad,1
ZYN-2026-325,75.0,67.1,99.1,2.8,5.9,3,Grad,1
ZYN-2026-326,70.6,73.7,86.8,4.3,9.7,6,Undergrad,1
ZYN-2026-327,64.4,73.4,66.3,4.5,8.0,7,Undergrad,1
ZYN-2026-328,77.6,92.7,96.5,3.4,5.0,4,Undergrad,0
ZYN-2026-329,71.5,78.5,82.6,3.4,7.8,4,Undergrad,0
ZYN-2026-330,87.4,97.0,87.1,4.0,3.8,4,Undergrad,0
ZYN-2026-331,73.6,73.9,91.3,3.5,8.2,3,Undergrad,1
ZYN-2026-332,74.1,85.3,89.9,3.7,8.6,4,Grad,1
ZYN-2026-333,66.9,72.0,95.1,5.0,6.3,2,High_School,1
ZYN-2026-334,71.2,100.0,83.6,3.6,7.4,7,High_School,1
ZYN-2026-335,76.3,67.7,93.1,3.5,10.0,6,High_School,1
ZYN-2026-336,48.1,85.7,85.4,3.3,6.4,7,High_School,0
ZYN-2026-337,53.1,89.6,95.4,4.4,5.5,5,Grad,0
ZYN-2026-338,82.4,87.0,94.2,3.7,9.6,4,Undergrad,1
ZYN-2026-339,74.4,79.8,78.6,3.3,10.0,5,Undergrad,1
ZYN-2026-340,69.4,80.4,98.9,4.9,7.2,4,High_School,1
ZYN-2026-341,72.3,82.5,82.6,4.9,8.8,7,Undergrad,1
ZYN-2026-342,76.9,80.2,96.1,3.3,9.3,5,Undergrad,1
ZYN-2026-343,64.4,93.6,91.7,2.3,6.0,6,High_School,0
ZYN-2026-344,61.1,100.0,100.0,4.6,6.4,5,Undergrad,0
ZYN-2026-345,74.7,75.3,85.8,3.3,9.2,2,Undergrad,1
ZYN-2026-346,58.3,65.6,84.5,4.4,9.9,4,Undergrad,0
ZYN-2026-347,77.7,80.9,87.8,2.2,8.1,4,Undergrad,1
ZYN-2026-348,48.2,100.0,85.0,4.5,5.8,6,High_School,0
ZYN-2026-349,86.4,72.4,96.0,2.8,10.0,11,Undergrad,1
ZYN-2026-350,78.6,100.0,71.8,4.4,6.4,6,Undergrad,0
ZYN-2026-351,75.6,100.0,77.5,3.8,6.7,8,Undergrad,1
ZYN-2026-352,85.8,75.4,77.3,3.0,7.7,5,Grad,1
ZYN-2026-353,95.3,88.8,97.5,3.5,9.7,3,Undergrad,1
